,ip4_prefix,ip_address,owner,latitude,longitude
64,1.1.1.0,1.1.1.1,CloudFlare Inc.,-33.9648017883,18.6016998291
65,1.1.1.0,1.1.1.1,CloudFlare Inc.,49.0127983093,2.5499999523
66,1.1.1.0,1.1.1.1,CloudFlare Inc.,40.1473007202,44.3959007263
67,1.1.1.0,1.1.1.1,CloudFlare Inc.,-22.0146007538,166.2129974365
68,1.1.1.0,1.1.1.1,CloudFlare Inc.,37.5583000183,126.791000366
69,1.1.1.0,1.1.1.1,CloudFlare Inc.,23.5932998657,58.2844009399
70,1.1.1.0,1.1.1.1,CloudFlare Inc.,44.8819999695,-93.2218017578
71,1.1.1.0,1.1.1.1,CloudFlare Inc.,41.2971000671,2.0784599781
72,1.1.1.0,1.1.1.1,CloudFlare Inc.,33.94250107,-118.4079971
73,1.1.1.0,1.1.1.1,CloudFlare Inc.,-25.4050998688,-49.2319984436
74,1.1.1.0,1.1.1.1,CloudFlare Inc.,45.6795005798,-74.0386962891
75,1.1.1.0,1.1.1.1,CloudFlare Inc.,25.0776996613,121.233001709
76,1.1.1.0,1.1.1.1,CloudFlare Inc.,37.62189865,-97.26820374
77,1.1.1.0,1.1.1.1,CloudFlare Inc.,17.2313175201,78.4298553467
78,1.1.1.0,1.1.1.1,CloudFlare Inc.,-18.7968997955,47.4788017273
79,1.1.1.0,1.1.1.1,CloudFlare Inc.,19.0886993408,72.8678970337
80,1.1.1.0,1.1.1.1,CloudFlare Inc.,53.8824996948,28.0307006836
81,1.1.1.0,1.1.1.1,CloudFlare Inc.,47.8431015015,106.766998291
82,1.1.1.0,1.1.1.1,CloudFlare Inc.,63.9850006104,-22.6056003571
83,1.1.1.0,1.1.1.1,CloudFlare Inc.,8.4821195602,76.9200973511
84,1.1.1.0,1.1.1.1,CloudFlare Inc.,49.9099998474,-97.2398986816
85,1.1.1.0,1.1.1.1,CloudFlare Inc.,-26.2425003052,28.1511993408
86,1.1.1.0,1.1.1.1,CloudFlare Inc.,-8.8583698273,13.2312002182
87,1.1.1.0,1.1.1.1,CloudFlare Inc.,50.8658981323,7.1427397728
88,1.1.1.0,1.1.1.1,CloudFlare Inc.,-12.021900177,-77.1143035889
89,1.1.1.0,1.1.1.1,CloudFlare Inc.,-37.0080986023,174.792007446
90,1.1.1.0,1.1.1.1,CloudFlare Inc.,47.4812134,19.1303031
91,1.1.1.0,1.1.1.1,CloudFlare Inc.,-22.9104995728,-43.1631011963
92,1.1.1.0,1.1.1.1,CloudFlare Inc.,-33.3930015564,-70.7857971191
93,1.1.1.0,1.1.1.1,CloudFlare Inc.,10.6031169891,-66.9905853271
94,1.1.1.0,1.1.1.1,CloudFlare Inc.,45.445098877,9.2767400742
95,1.1.1.0,1.1.1.1,CloudFlare Inc.,1.3604199886,103.9100036621
96,1.1.1.0,1.1.1.1,CloudFlare Inc.,60.193901062,11.100399971
97,1.1.1.0,1.1.1.1,CloudFlare Inc.,40.7883987427,-111.9779968262
98,1.1.1.0,1.1.1.1,CloudFlare Inc.,21.3187007904,-157.9219970703
99,1.1.1.0,1.1.1.1,CloudFlare Inc.,-20.4302005768,57.6836013794
100,1.1.1.0,1.1.1.1,CloudFlare Inc.,-29.7705993652,31.0583992004
101,1.1.1.0,1.1.1.1,CloudFlare Inc.,22.308889,113.914722
102,1.1.1.0,1.1.1.1,CloudFlare Inc.,-31.9402999878,115.9670028687
103,1.1.1.0,1.1.1.1,CloudFlare Inc.,33.2625007629,44.2346000671
104,1.1.1.0,1.1.1.1,CloudFlare Inc.,38.2924003601,27.156999588
105,1.1.1.0,1.1.1.1,CloudFlare Inc.,56.7430992126,60.8027000427
106,1.1.1.0,1.1.1.1,CloudFlare Inc.,40.9768981934,28.8145999908
107,1.1.1.0,1.1.1.1,CloudFlare Inc.,40.63980103,-73.77890015
108,1.1.1.0,1.1.1.1,CloudFlare Inc.,49.0741996765,-123.012001038
109,1.1.1.0,1.1.1.1,CloudFlare Inc.,3.54322,-76.3816
110,1.1.1.0,1.1.1.1,CloudFlare Inc.,-34.9449996948,138.5310058594
111,1.1.1.0,1.1.1.1,CloudFlare Inc.,-27.4702796,153.023036
112,1.1.1.0,1.1.1.1,CloudFlare Inc.,-34.5592,-58.4156
113,1.1.1.0,1.1.1.1,CloudFlare Inc.,55.4087982178,37.9062995911
114,1.1.1.0,1.1.1.1,CloudFlare Inc.,59.8003005981,30.2625007629
115,1.1.1.0,1.1.1.1,CloudFlare Inc.,50.3450012207,30.8946990967
116,1.1.1.0,1.1.1.1,CloudFlare Inc.,35.5522994995,139.7799987793
117,1.1.1.0,1.1.1.1,CloudFlare Inc.,13.9125995636,100.607002258
118,1.1.1.0,1.1.1.1,CloudFlare Inc.,19.4363002777,-99.0720977783
119,1.1.1.0,1.1.1.1,CloudFlare Inc.,41.7859992981,-87.7524032593
120,149.112.112.0,149.112.112.112,Quad9,25.0695,121.5785
121,149.112.112.0,149.112.112.112,Quad9,25.7931995392,-80.2906036377
122,149.112.112.0,149.112.112.112,Quad9,47.5299987793,-122.3020019531
123,149.112.112.0,149.112.112.112,Quad9,33.94250107,-118.4079971
124,149.112.112.0,149.112.112.112,Quad9,51.5052986145,0.0552779995
125,149.112.112.0,149.112.112.112,Quad9,44.8819999695,-93.2218017578
126,149.112.112.0,149.112.112.112,Quad9,-6.8780555556,39.2033333333
127,149.112.112.0,149.112.112.112,Quad9,37.0775,-113.6095
128,149.112.112.0,149.112.112.112,Quad9,49.0127983093,2.5499999523
129,149.112.112.0,149.112.112.112,Quad9,-25.2399997711,-57.5200004578
130,149.112.112.0,149.112.112.112,Quad9,-4.3857498169,15.4446001053
131,149.112.112.0,149.112.112.112,Quad9,40.1473007202,44.3959007263
132,149.112.112.0,149.112.112.112,Quad9,41.2971000671,2.0784599781
133,149.112.112.0,149.112.112.112,Quad9,-33.3930015564,-70.7857971191
134,149.112.112.0,149.112.112.112,Quad9,9.9570503235,-84.1398010254
135,149.112.112.0,149.112.112.112,Quad9,24.9575996399,46.6987991333
136,149.112.112.0,149.112.112.112,Quad9,-26.2425003052,28.1511993408
137,149.112.112.0,149.112.112.112,Quad9,51.113899231,-114.019996643
138,149.112.112.0,149.112.112.112,Quad9,15.5895004272,32.5531997681
139,149.112.112.0,149.112.112.112,Quad9,-12.021900177,-77.1143035889
140,149.112.112.0,149.112.112.112,Quad9,-4.0348300934,39.5942001343
141,149.112.112.0,149.112.112.112,Quad9,23.843347,90.397783
142,149.112.112.0,149.112.112.112,Quad9,50.8658981323,7.1427397728
143,149.112.112.0,149.112.112.112,Quad9,27.6965999603,85.3591003418
144,149.112.112.0,149.112.112.112,Quad9,1.3604199886,103.9100036621
